"Name","Firm","Price","Strength","Count","unit_price","Year","Area","Drug_ID","Firm_ID","is_treated","first_treat_year"
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","86.98","20ml:200mg","1",86.98,2015,"上海",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","179.63","50ml:500mg","1",179.63,2015,"上海",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","89.38","20ml:200mg","1",89.38,2015,"上海",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","B.Braun Melsungen AG","180.68","50ml:500mg","1",180.68,2015,"上海",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","B.Braun Melsungen AG","87.45","20ml:200mg","1",87.45,2015,"上海",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","55.0206","10ml:100mg","1",55.02,2015,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","B.Braun Melsungen AG","189.8","50ml:500mg","1",189.8,2015,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","B.Braun Melsungen AG","91.6","20ml:200mg","1",91.6,2015,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","92.07","20ml:200mg","1",92.07,2015,"上海",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","190.46","50ml:500mg","1",190.46,2015,"上海",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","322","50ml:1g","1",322,2015,"上海",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","95","20ml:200mg","1",95,2015,"上海",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","四川国瑞药业有限责任公司","191.72","50ml:500mg","1",191.72,2015,"上海",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","四川国瑞药业有限责任公司","92","20ml:200mg","1",92,2015,"上海",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","B.Braun Melsungen AG","196.52","50ml:500mg","1",196.52,2015,"上海",2,NA,0,2021
