"Name","Firm","Price","Strength","Count","unit_price","Year","Area","Drug_ID","Firm_ID"
"阿托伐他汀钙片","北京嘉林药业股份有限公司",25.58,"20mg",7,8.89,2015,"安徽",254,151
"阿托伐他汀钙片","辉瑞制药有限公司",62.23,"10mg",10,3.558,2015,"安徽",254,664
"厄贝沙坦片","深圳市海滨制药有限公司",9.66,"75mg",28,0.69,2015,"安徽",35,570
"厄贝沙坦片","浙江华海药业股份有限公司",19.32,"75mg",12,0.69,2015,"安徽",35,499
"厄贝沙坦片","浙江海正药业股份有限公司",8.28,"0.15g",7,1,2015,"安徽",35,519
"厄贝沙坦片","江苏恒瑞医药股份有限公司",7,"0.15g",7,4.38,2015,"安徽",35,442
"厄贝沙坦片","赛诺菲（杭州）制药有限公司",30.66,"0.15g",12,1.95,2015,"安徽",35,662
"恩替卡韦分散片","安徽贝克生物制药有限公司",62.89,"0.5mg",7,16.85714,2015,"安徽",92,289
"恩替卡韦分散片","正大天晴药业集团股份有限公司",118,"1.0mg",7,24.77143,2015,"安徽",92,413
"恩替卡韦分散片","山东鲁抗医药股份有限公司",173.4,"0.5mg",12,13.07,2015,"安徽",92,313
"恩替卡韦胶囊","南京正大天晴制药有限公司",156.84,"0.5mg",7,12.1,2015,"安徽",94,189
"恩替卡韦胶囊","福建广生堂药业股份有限公司",84.7,"0.5mg",7,16.51714,2015,"安徽",94,630
"伏立康唑片","成都华神集团股份有限公司制药厂",84.9,"0.25g",8,6.90875,2015,"安徽",9,370
"克拉霉素片","上海雅培制药有限公司",55.27,"0.25g",6,0.498333,2015,"安徽",11,107
"克拉霉素片","河南天方药业股份有限公司",2.99,"50mg",12,0.291667,2015,"安徽",11,485
"克拉霉素片","江苏恒瑞医药股份有限公司",3.5,"1mg",60,0.566,2015,"安徽",11,442
"利培酮片","浙江华海药业股份有限公司",33.96,"1mg",30,0.722667,2015,"安徽",13,499
"利培酮片","齐鲁制药有限公司",21.68,"2mg",20,2.2715,2015,"安徽",13,712
"利培酮片","常州四药制药有限公司",45.43,"3mg",10,2.731,2015,"安徽",13,331
"利培酮片","齐鲁制药有限公司",27.31,"20mg",48,0.597708,2015,"安徽",13,712
"单硝酸异山梨酯缓释片","齐鲁制药有限公司",25.2,"40mg",24,1.308333,2015,"安徽",22,712
"单硝酸异山梨酯缓释片","齐鲁制药有限公司",31.4,"40mg",24,1.870833,2015,"安徽",22,712
"单硝酸异山梨酯缓释片","鲁南贝特制药有限公司",44.9,"50mg",10,1.45,2015,"安徽",22,707
"单硝酸异山梨酯缓释片","华润双鹤药业股份有限公司",14.5,"60mg",10,1.645,2015,"安徽",22,176
"单硝酸异山梨酯缓释片","山德士（中国）制药有限公司",16.45,"40mg",20,1.01,2015,"安徽",22,315
"单硝酸异山梨酯缓释胶囊","珠海润都制药股份有限公司",20.2,"50mg",20,1.198,2015,"安徽",23,611
"单硝酸异山梨酯缓释胶囊","珠海润都制药股份有限公司",23.96,"40mg",12,1.335833,2015,"安徽",23,611
"卡培他滨片","江苏恒瑞医药股份有限公司",100,"0.5g",12,32.11667,2015,"安徽",30,442
"卡培他滨片","上海罗氏制药有限公司",385.4,"0.15g",12,2.666667,2015,"安徽",30,102
"厄贝沙坦片","深圳市海滨制药有限公司",9.66,"75mg",28,0.69,2015,"安徽",35,570
"厄贝沙坦片","浙江华海药业股份有限公司",19.32,"75mg",12,0.69,2015,"安徽",35,499
"厄贝沙坦片","浙江海正药业股份有限公司",8.28,"0.15g",7,1,2015,"安徽",35,519
"厄贝沙坦片","江苏恒瑞医药股份有限公司",7,"0.15g",7,4.38,2015,"安徽",35,442
"厄贝沙坦片","赛诺菲（杭州）制药有限公司",30.66,"0.15g",12,1.95,2015,"安徽",35,662
"吸入用异丙托溴铵溶液","德国Boehringer Ingelheim Pharma GmbH &Co.KG",4.45,"5mg/2.5ml",1,5.03,2015,"安徽",43,361
"吸入用硫酸沙丁胺醇溶液","GlaxoSmithKline Australia Pty Ltd",5.03,"7.2mg",10,0.755,2015,"安徽",44,26
"坎地沙坦酯片","重庆圣华曦药业股份有限公司",28.12,"4mg",14,1.382143,2015,"安徽",46,681
"坎地沙坦酯片","福州屏山制药有限公司",19.35,"4mg",14,1.47,2015,"安徽",46,627
"坎地沙坦酯片","重庆圣华曦药业股份有限公司",20.58,"4mg",7,1.47,2015,"安徽",46,681
"坎地沙坦酯片","广州白云山天心制药股份有限公司",10.29,"8mg",12,1.916667,2015,"安徽",46,349
"坎地沙坦酯片","迪沙药业集团有限公司",23,"8mg",7,4.92,2015,"安徽",46,672
