Name,Firm,Price,Volume,Count
复方聚乙二醇电解质散（Ⅲ）,Ipsen Pharma(Beaufour Ipsen Industrie),138,59g,4
复方聚乙二醇电解质散（Ⅰ）,江西恒康药业有限公司,35.88,69.56g,1
复方聚乙二醇电解质散（Ⅱ）,深圳万和制药有限公司,74.7,137.15g,1
复方聚乙二醇电解质散（Ⅱ）,深圳万和制药有限公司,39.3,68.56g,1
复方聚乙二醇电解质散（Ⅳ）,舒泰神（北京）生物制药股份有限公司,34.71,13.125g,6
重组人干扰素α1b注射液,北京三元基因工程有限公司,16.7,1ml,1
重组人干扰素α1b注射液,北京三元基因工程有限公司,40.35,1ml,1
重组人干扰素α1b注射液,北京三元基因工程有限公司,59.65,1ml,1
重组人干扰素α1b注射液,北京三元基因工程有限公司,11.74,0.5ml,1
重组人干扰素α1b注射液,北京三元基因工程有限公司,29.57,0.5ml,1
重组人干扰素α2a注射液,沈阳三生制药有限责任公司,11.88,1ml,1
重组人干扰素α2a注射液,沈阳三生制药有限责任公司,29.19,1ml,1
重组人干扰素α2a注射液,沈阳三生制药有限责任公司,45.64,1ml,1
重组人干扰素α2b注射液,北京凯因科技股份有限公司,36.58,0.3ml,1
重组人干扰素α2b注射液,北京凯因科技股份有限公司,53.66,0.5ml,1
重组人干扰素α2b注射液,北京凯因科技股份有限公司,64.09,0.6ml,1
重组人干扰素α2b注射液,长春海伯尔生物技术有限责任公司,52.5,0.6ml,1
重组人干扰素α2b注射液,长春海伯尔生物技术有限责任公司,84.82,1ml,1
重组人干扰素α2b注射液,长春海伯尔生物技术有限责任公司,31.3,0.3ml,1
重组人干扰素α2b注射液,长春海伯尔生物技术有限责任公司,50.55,0.5ml,1
重组人干扰素α-2b注射液,Merck Sharp & Dohme Limited(SP (Brinny) Company),913,,1
重组人干扰素α2b注射液（假单胞菌）,天津华立达生物工程有限公司,16.78,1ml,1
重组人干扰素α2b注射液（假单胞菌）,天津华立达生物工程有限公司,41.57,1ml,1
重组人干扰素α2b注射液（假单胞菌）,天津华立达生物工程有限公司,60.17,1ml,1
注射用重组人干扰素α1b,北京三元基因工程有限公司,40.35,,1
注射用重组人干扰素α1b,北京三元基因工程有限公司,59.65,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,17.39,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,29.57,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,29.57,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,40.35,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,40.35,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,50.26,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,50.26,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,59.65,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,59.65,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,59.65,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,68.61,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,68.61,,1
注射用重组人干扰素α1b,深圳科兴生物工程有限公司,68.61,,1
