"","Name","Firm","Price","Volume","Count","unit_price","Year"
"1","阿法骨化醇软胶囊","广州白云山星群（药业）股份有限公司",20.04,"",20,1.002,2015
"2","阿法骨化醇软胶囊","广州白云山星群（药业）股份有限公司",17.47,"",10,1.747,2015
"3","阿法骨化醇软胶囊","华润双鹤药业股份有限公司",29.57,"",30,0.985666666666667,2015
"4","阿法骨化醇软胶囊","南通华山药业有限公司",33.91,"",20,1.6955,2015
"5","阿法骨化醇软胶囊","南通华山药业有限公司",21.04,"",20,1.052,2015
"6","阿法骨化醇软胶囊","南通华山药业有限公司",31.04,"",30,1.03466666666667,2015
"7","阿卡波糖片","拜耳医药保健有限公司",108.92,"0.1g",30,3.63066666666667,2015
"8","阿立哌唑片","浙江大冢制药有限公司",92.17,"5mg",10,9.217,2015
"9","阿立哌唑片","浙江大冢制药有限公司",156.52,"10mg",10,15.652,2015
"10","阿托伐他汀钙片","Lek Pharmaceuticals d.d（山德士（中国）制药有限公司分装）",58.2,"20mg",10,5.82,2015
"11","阿托伐他汀钙片","Lek Pharmaceuticals d.d（山德士（中国）制药有限公司分装）",101.04,"40mg",10,10.104,2015
"12","阿托伐他汀钙片","北京嘉林药业股份有限公司",27.13,"10mg",7,3.87571428571429,2015
"13","阿托伐他汀钙片","浙江新东港药业股份有限公司",38.22,"10mg",10,3.822,2015
"14","阿托伐他汀钙片","浙江新东港药业股份有限公司",27.11,"10mg",7,3.87285714285714,2015
"15","阿托伐他汀钙片","浙江新东港药业股份有限公司",52.83,"10mg",14,3.77357142857143,2015
"16","草酸艾司西酞普兰片","丹麦H. Lundbeck A/S（西安杨森制药有限公司分装）",101.74,"10mg",7,14.5342857142857,2015
"17","草酸艾司西酞普兰片","丹麦H. Lundbeck A/S（西安杨森制药有限公司分装）",172.96,"20mg",7,24.7085714285714,2015
"18","草酸艾司西酞普兰片","吉林省西点药业科技发展股份有限公司",64.55,"5mg",14,4.61071428571429,2015
"19","草酸艾司西酞普兰片","吉林省西点药业科技发展股份有限公司",56.19,"10mg",7,8.02714285714286,2015
"20","草酸艾司西酞普兰片","山东京卫制药有限公司",109.57,"10mg",14,7.82642857142857,2015
"21","草酸艾司西酞普兰片","山东京卫制药有限公司",56.19,"10mg",7,8.02714285714286,2015
"22","草酸艾司西酞普兰片","山东京卫制药有限公司",64.55,"5mg",14,4.61071428571429,2015
"23","草酸艾司西酞普兰片","山东京卫制药有限公司",95.43,"5mg",21,4.54428571428571,2015
"24","草酸艾司西酞普兰片","四川科伦药业股份有限公司",56.43,"10mg",7,8.06142857142857,2015
"25","草酸艾司西酞普兰片","四川科伦药业股份有限公司",79.56,"10mg",10,7.956,2015
"26","草酸艾司西酞普兰片","四川科伦药业股份有限公司",32.87,"10mg",4,8.2175,2015
"27","草酸艾司西酞普兰片","浙江金华康恩贝生物制药有限公司",64.55,"5mg",14,4.61071428571429,2015
"28","草酸艾司西酞普兰片","浙江金华康恩贝生物制药有限公司",109.57,"10mg",14,7.82642857142857,2015
"29","草酸艾司西酞普兰片","浙江金华康恩贝生物制药有限公司",108.5,"5mg",24,4.52083333333333,2015
"30","草酸艾司西酞普兰片","浙江金华康恩贝生物制药有限公司",56.19,"10mg",7,8.02714285714286,2015
"31","氨磺必利片","Sanofi Winthrop Industrie （  诺菲（杭州）制药有限公司分装）",280,"200mg",20,14,2015
"32","氨磺必利片","齐鲁制药有限公司",156,"200mg",20,7.8,2015
"33","氨磺必利片","齐鲁制药有限公司",55,"50mg",20,2.75,2015
"34","硫酸氨基葡萄糖胶囊","ROTTAPHARM S.P.A(Rottapharm Ltd)",26.75,"0.25g",10,2.675,2015
"35","硫酸氨基葡萄糖胶囊","ROTTAPHARM S.P.A(Rottapharm Ltd)",52.17,"0.25g",20,2.6085,2015
