,Symbol,EndDate,Source,StateTypeCode,RDPerson,RDPersonRatio,RDSpendSum,RDSpendSumRatio,RDExpenses,RDInvest,RDInvestRatio,RDInvestNetprofitRatio,Currency
6,4,2010-12-31,0,1,,,5767031.08,,5767031.08,,,,CNY
7,4,2011-12-31,0,1,,,2952345.13,,2952345.13,,,,CNY
8,4,2012-12-31,0,1,,,2460888.19,,2460888.19,,,,CNY
9,4,2013-12-31,0,1,,,1936084.84,,1936084.84,,,,CNY
10,4,2014-12-31,0,1,,,2439346.8,,2439346.8,,,,CNY
11,4,2015-12-31,0,1,,,4265023.32,,4265023.32,,,,CNY
12,4,2016-12-31,0,1,,,9244396.41,,9244396.41,,,,CNY
13,4,2017-12-31,0,1,23.0,13.77,5153966.37,3.72,,0.0,0.0,,CNY
14,4,2018-12-31,0,1,62.0,27.8,17465777.11,4.76,,0.0,0.0,,CNY
15,4,2019-12-31,0,1,27.0,10.76,1017599.91,0.94,,0.0,0.0,,CNY
16,4,2020-12-31,0,1,147.0,55.68,32795527.56,11.69,,9487035.56,28.93,,CNY
17,4,2021-12-31,0,1,194.0,69.53,47845162.91,16.56,,16082600.46,33.61,,CNY
18,4,2022-12-31,0,1,177.0,63.0,49467357.95,29.72,,4301821.72,8.7,,CNY
19,4,2023-12-31,0,1,147.0,49.33,49209585.21,44.72,,4432924.87,9.01,,CNY
165,28,2007-12-31,0,1,,,18340000.0,47.67,,,,,CNY
166,28,2008-12-31,0,1,,,23708795.65,,23708795.65,,,,CNY
167,28,2009-12-31,0,1,286.0,8.06,,,,,,,CNY
168,28,2010-12-31,0,1,,,57685900.0,3.35,,,,,CNY
169,28,2011-12-31,0,1,,,64935100.0,3.72,,,,,CNY
170,28,2012-12-31,0,1,,,80366881.98,0.45,,,,,CNY
171,28,2013-12-31,0,1,,,80047194.42,0.38,,,,,CNY
172,28,2014-12-31,0,1,,,81216093.52,0.34,,,,,CNY
173,28,2015-12-31,0,1,94.0,2.02,73150395.26,0.28,,0.0,0.0,,CNY
174,28,2016-12-31,0,1,221.0,13.9,43731710.16,0.11,,0.0,0.0,,CNY
175,28,2022-12-31,0,1,48.0,0.12,9066902.05,0.01,,0.0,0.0,,CNY
176,28,2023-12-31,0,1,126.0,0.32,26821075.48,0.04,,,,,CNY
487,78,2007-12-31,0,1,,,15000000.0,,,,,,CNY
488,78,2008-12-31,0,1,,,20650000.0,,20650000.0,,,,CNY
489,78,2009-12-31,0,1,,,19606507.69,,,,,,CNY
490,78,2010-12-31,0,1,,,8371841.53,,,,,,CNY
491,78,2011-12-31,0,1,,,6577980.89,,,,,,CNY
492,78,2012-12-31,0,1,,,53139704.76,0.83,,,,,CNY
