"","StockCode","EndDate.x","StateTypeCode","Area","ApplyTypeCode","ApplyType","Patents","Invention","UtilityModel","ShortName","IndustryCode","IndustryName","EndDate.y"
"13","000004","2023-12-31","1","1","S5204","截至报告期末累计获得","46",NA,NA,"ST 国农","C27","医药制造业","2010-12-31"
"15","000004","2021-12-31","1","1","S5204","截至报告期末累计获得",NA,"14",NA,"ST 国农","C27","医药制造业","2010-12-31"
"182","000028","2022-12-31","1","1","S5202","已获得",NA,NA,"10","一致药业","C27","医药制造业","2001-12-31"
"467","000078","2018-12-31","1","1","S5201","已申请",NA,"8",NA,"海王生物","C27","医药制造业","1998-12-31"
"472","000078","2021-12-31","1","1","S5201","已申请","10",NA,NA,"海王生物","C27","医药制造业","1998-12-31"
"475","000078","2019-12-31","1","1","S5201","已申请",NA,"11",NA,"海王生物","C27","医药制造业","1998-12-31"
"477","000078","2016-12-31","1","1","S5203","已授权",NA,"2",NA,"海王生物","C27","医药制造业","1998-12-31"
"569","000153","2019-12-31","1","1","S5203","已授权","4","4","0","新力药业","C27","医药制造业","2000-12-31"
"573","000153","2021-12-31","1","1","S5206","截止报告期末累计已授权",NA,"139","4","新力药业","C27","医药制造业","2000-12-31"
"575","000153","2017-12-31","1","1","S5203","已授权","10","9",NA,"新力药业","C27","医药制造业","2000-12-31"
"579","000153","2016-12-31","1","1","S5201","已申请","12","12","0","新力药业","C27","医药制造业","2000-12-31"
"581","000153","2020-12-31","1","1","S5203","已授权","4","4","0","新力药业","C27","医药制造业","2000-12-31"
"595","000153","2023-12-31","1","1","S5206","截止报告期末累计已授权","155","151","3","新力药业","C27","医药制造业","2000-12-31"
"597","000153","2022-12-31","1","1","S5206","截止报告期末累计已授权",NA,"139","4","新力药业","C27","医药制造业","2000-12-31"
"605","000153","2018-12-31","1","1","S5203","已授权","13","13","0","新力药业","C27","医药制造业","2000-12-31"
"732","000403","2023-12-31","1","1","S5206","截止报告期末累计已授权","62",NA,NA,"ST 生化","C27","医药制造业","2014-12-31"
"738","000403","2022-12-31","1","1","S5204","截至报告期末累计获得","71",NA,NA,"ST 生化","C27","医药制造业","2014-12-31"
"744","000403","2017-12-31","1","1","S5206","截止报告期末累计已授权","23","7","16","ST 生化","C27","医药制造业","2014-12-31"
"750","000403","2021-12-31","1","1","S5204","截至报告期末累计获得","59",NA,NA,"ST 生化","C27","医药制造业","2014-12-31"
"756","000403","2020-12-31","1","1","S5204","截至报告期末累计获得","59","20","30","ST 生化","C27","医药制造业","2014-12-31"
"762","000403","2018-12-31","1","1","S5204","截至报告期末累计获得","25","9","16","ST 生化","C27","医药制造业","2014-12-31"
"768","000403","2019-12-31","1","1","S5204","截至报告期末累计获得","25","9","16","ST 生化","C27","医药制造业","2014-12-31"
"774","000403","2016-12-31","1","1","S5202","已获得","14",NA,NA,"ST 生化","C27","医药制造业","2014-12-31"
"836","000423","2024-12-31","1","1","S5201","已申请","24","15","0","S 阿胶","C27","医药制造业","2006-12-31"
"838","000423","2016-12-31","1","1","S5201","已申请",NA,"25","22","S 阿胶","C27","医药制造业","2006-12-31"
"840","000423","2017-12-31","1","1","S5206","截止报告期末累计已授权",NA,"20","48","S 阿胶","C27","医药制造业","2006-12-31"
"842","000423","2021-12-31","1","1","S5203","已授权",NA,"13","6","S 阿胶","C27","医药制造业","2006-12-31"
"848","000423","2019-12-31","2","1","S5206","截止报告期末累计已授权","58",NA,NA,"S 阿胶","C27","医药制造业","2006-12-31"
"852","000423","2020-12-31","1","1","S5203","已授权",NA,"9","16","S 阿胶","C27","医药制造业","2006-12-31"
"856","000423","2018-12-31","1","1","S5206","截止报告期末累计已授权",NA,"17",NA,"S 阿胶","C27","医药制造业","2006-12-31"
"864","000423","2022-12-31","1","2","S5206","截止报告期末累计已授权","9",NA,NA,"S 阿胶","C27","医药制造业","2006-12-31"
"950","000513","2020-12-31","2","1","S5205","截止报告期末累计已被受理","193",NA,NA,"丽珠集团","C27","医药制造业","1997-12-31"
"960","000513","2024-12-31","1","1","S5204","截至报告期末累计获得","722","462",NA,"丽珠集团","C27","医药制造业","1997-12-31"
"1085","000534","2019-12-31","1","1","S5206","截止报告期末累计已授权","73",NA,NA,"万泽股份","C27","医药制造业","2019-12-31"
"1086","000534","2018-12-31","1","1","S5206","截止报告期末累计已授权","36","12","24","万泽股份","C27","医药制造业","2019-12-31"
"1087","000534","2016-12-31","1","1","S5201","已申请",NA,"13","10","万泽股份","C27","医药制造业","2019-12-31"
"1097","000538","2019-12-31","1","1","S5203","已授权","18","7","8","云南白药","C27","医药制造业","1996-12-31"
"1099","000538","2022-12-31","1","1","S5203","已授权","11",NA,NA,"云南白药","C27","医药制造业","1996-12-31"
"1101","000538","2021-12-31","1","1","S5203","已授权","30","5","25","云南白药","C27","医药制造业","1996-12-31"
"1111","000538","2023-12-31","1","1","S5201","已申请","44","18","17","云南白药","C27","医药制造业","1996-12-31"
"1147","000545","2021-12-31","1","1","S5201","已申请",NA,"2","6","*ST 吉药","C27","医药制造业","2007-12-31"
"1155","000545","2022-12-31","1","1","S5206","截止报告期末累计已授权","69","8","61","*ST 吉药","C27","医药制造业","2007-12-31"
"1159","000545","2017-12-31","1","1","S5205","截止报告期末累计已被受理","3","2",NA,"*ST 吉药","C27","医药制造业","2007-12-31"
"1163","000545","2020-12-31","1","1","S5201","已申请","24","4","20","*ST 吉药","C27","医药制造业","2007-12-31"
"1171","000545","2019-12-31","1","1","S5203","已授权",NA,NA,"4","*ST 吉药","C27","医药制造业","2007-12-31"
"1179","000545","2023-12-31","1","1","S5204","截至报告期末累计获得","103","10","93","*ST 吉药","C27","医药制造业","2007-12-31"
"1183","000545","2016-12-31","1","1","S5201","已申请",NA,"2",NA,"*ST 吉药","C27","医药制造业","2007-12-31"
"1260","000557","2022-12-31","1","1","S5204","截至报告期末累计获得",NA,NA,"6","*ST 广夏","C27","医药制造业","2005-12-31"
"1310","000566","2017-12-31","1","1","S5202","已获得",NA,"1",NA,"琼海药A","C27","医药制造业","1994-12-31"
"1315","000566","2019-12-31","1","1","S5203","已授权","11",NA,NA,"琼海药A","C27","医药制造业","1994-12-31"
"1330","000566","2023-12-31","1","1","S5204","截至报告期末累计获得","65","49",NA,"琼海药A","C27","医药制造业","1994-12-31"
"1365","000566","2016-12-31","1","1","S5204","截至报告期末累计获得","82",NA,NA,"琼海药A","C27","医药制造业","1994-12-31"
"1456","000590","2024-12-31","1","1","S5201","已申请",NA,"2",NA,"古汉集团","C27","医药制造业","1997-12-31"
"1463","000590","2023-12-31","1","1","S5204","截至报告期末累计获得","30",NA,NA,"古汉集团","C27","医药制造业","1997-12-31"
"1477","000590","2018-12-31","1","1","S5203","已授权",NA,NA,NA,"古汉集团","C27","医药制造业","1997-12-31"
"1484","000590","2019-12-31","1","1","S5201","已申请",NA,NA,"7","古汉集团","C27","医药制造业","1997-12-31"
"1533","000591","2018-12-31","1","1","S5205","截止报告期末累计已被受理","334",NA,NA,"桐君阁","C27","医药制造业","1998-12-31"
"1536","000591","2017-12-31","1","1","S5206","截止报告期末累计已授权","235","33","200","桐君阁","C27","医药制造业","1998-12-31"
"1539","000591","2020-12-31","1","1","S5206","截止报告期末累计已授权","313","47","264","桐君阁","C27","医药制造业","1998-12-31"
"1545","000591","2021-12-31","1","1","S5206","截止报告期末累计已授权","357","47","306","桐君阁","C27","医药制造业","1998-12-31"
"1551","000591","2022-12-31","1","1","S5206","截止报告期末累计已授权","423","51","368","桐君阁","C27","医药制造业","1998-12-31"
"1554","000591","2023-12-31","1","1","S5206","截止报告期末累计已授权","449","64","377","桐君阁","C27","医药制造业","1998-12-31"
"1557","000591","2016-12-31","1","1","S5206","截止报告期末累计已授权","217",NA,NA,"桐君阁","C27","医药制造业","1998-12-31"
"1569","000591","2019-12-31","1","1","S5205","截止报告期末累计已被受理","395",NA,NA,"桐君阁","C27","医药制造业","1998-12-31"
"1664","000623","2018-12-31","1","1","S5206","截止报告期末累计已授权","85",NA,NA,"吉林敖东","C27","医药制造业","1996-12-31"
"1666","000623","2017-12-31","1","1","S5204","截至报告期末累计获得","119",NA,NA,"吉林敖东","C27","医药制造业","1996-12-31"
"2353","000739","2024-12-31","1","1","S5205","截止报告期末累计已被受理","373",NA,NA,"普洛股份","C27","医药制造业","2008-12-31"
"2361","000739","2017-12-31","1","1","S5204","截至报告期末累计获得","143","103","40","普洛股份","C27","医药制造业","2008-12-31"
"2365","000739","2023-12-31","1","1","S5204","截至报告期末累计获得","139","128","11","普洛股份","C27","医药制造业","2008-12-31"
"2369","000739","2022-12-31","1","1","S5201","已申请",NA,"21",NA,"普洛股份","C27","医药制造业","2008-12-31"
"2381","000739","2018-12-31","1","1","S5204","截至报告期末累计获得","116","98","18","普洛股份","C27","医药制造业","2008-12-31"
"2385","000739","2019-12-31","1","1","S5202","已获得",NA,"5",NA,"普洛股份","C27","医药制造业","2008-12-31"
"2397","000739","2016-12-31","1","1","S5203","已授权","17",NA,NA,"普洛股份","C27","医药制造业","2008-12-31"
"2417","000739","2020-12-31","1","1","S5203","已授权",NA,"4",NA,"普洛股份","C27","医药制造业","2008-12-31"
"2429","000739","2021-12-31","1","1","S5203","已授权",NA,"13",NA,"普洛股份","C27","医药制造业","2008-12-31"
"2458","000756","2022-12-31","1","1","S5203","已授权","18",NA,NA,"新华制药","C27","医药制造业","1997-12-31"
"2459","000756","2021-12-31","1","1","S5203","已授权","14",NA,NA,"新华制药","C27","医药制造业","1997-12-31"
"2464","000756","2018-12-31","1","1","S5203","已授权","6",NA,NA,"新华制药","C27","医药制造业","1997-12-31"
"2465","000756","2023-12-31","1","1","S5203","已授权","44",NA,NA,"新华制药","C27","医药制造业","1997-12-31"
"2466","000756","2020-12-31","1","1","S5203","已授权","8",NA,NA,"新华制药","C27","医药制造业","1997-12-31"
"2468","000756","2019-12-31","1","1","S5201","已申请","81",NA,NA,"新华制药","C27","医药制造业","1997-12-31"
"2469","000756","2017-12-31","1","1","S5203","已授权","11",NA,NA,"新华制药","C27","医药制造业","1997-12-31"
"2473","000756","2016-12-31","1","1","S5203","已授权","12","8",NA,"新华制药","C27","医药制造业","1997-12-31"
"2522","000766","2021-12-31","1","1","S5204","截至报告期末累计获得","108","42","64","通化金马","C27","医药制造业","1997-12-31"
"2525","000766","2020-12-31","1","1","S5201","已申请",NA,"2",NA,"通化金马","C27","医药制造业","1997-12-31"
"2537","000766","2023-12-31","1","1","S5205","截止报告期末累计已被受理",NA,"13",NA,"通化金马","C27","医药制造业","1997-12-31"
"2552","000766","2018-12-31","1","1","S5204","截至报告期末累计获得",NA,"41","25","通化金马","C27","医药制造业","1997-12-31"
"2561","000766","2022-12-31","1","1","S5205","截止报告期末累计已被受理",NA,"14",NA,"通化金马","C27","医药制造业","1997-12-31"
"2564","000766","2017-12-31","1","1","S5205","截止报告期末累计已被受理",NA,"7","3","通化金马","C27","医药制造业","1997-12-31"
"2573","000766","2019-12-31","1","1","S5204","截至报告期末累计获得","109","53","54","通化金马","C27","医药制造业","1997-12-31"
"2582","000766","2016-12-31","1","1","S5204","截至报告期末累计获得",NA,"25","21","通化金马","C27","医药制造业","1997-12-31"
"2736","000790","2022-12-31","1","1","S5206","截止报告期末累计已授权","121",NA,NA,"华神集团","C27","医药制造业","1998-12-31"
"2739","000790","2020-12-31","1","1","S5204","截至报告期末累计获得","85","24","57","华神集团","C27","医药制造业","1998-12-31"
"2751","000790","2021-12-31","1","1","S5203","已授权","20",NA,NA,"华神集团","C27","医药制造业","1998-12-31"
"2757","000790","2023-12-31","1","2","S5206","截止报告期末累计已授权",NA,"4",NA,"华神集团","C27","医药制造业","1998-12-31"
"2775","000790","2016-12-31","1","1","S5204","截至报告期末累计获得","50","22","24","华神集团","C27","医药制造业","1998-12-31"
"2778","000790","2019-12-31","1","1","S5204","截至报告期末累计获得","79","28","47","华神集团","C27","医药制造业","1998-12-31"
"2802","000790","2017-12-31","1","1","S5204","截至报告期末累计获得","51","23","24","华神集团","C27","医药制造业","1998-12-31"
"2805","000790","2018-12-31","1","1","S5204","截至报告期末累计获得","56","23","29","华神集团","C27","医药制造业","1998-12-31"
"2925","000813","2023-12-31","1","1","S5201","已申请",NA,"30",NA,"德展健康","C27","医药制造业","2017-12-31"
"2926","000813","2021-12-31","1","1","S5203","已授权",NA,"8",NA,"德展健康","C27","医药制造业","2017-12-31"
"2927","000813","2020-12-31","1","1","S5206","截止报告期末累计已授权",NA,"18",NA,"德展健康","C27","医药制造业","2017-12-31"
"2928","000813","2018-12-31","1","1","S5201","已申请","3","3","0","德展健康","C27","医药制造业","2017-12-31"
"2929","000813","2017-12-31","1","1","S5206","截止报告期末累计已授权","12",NA,NA,"德展健康","C27","医药制造业","2017-12-31"
"2931","000813","2019-12-31","1","1","S5201","已申请",NA,"3",NA,"德展健康","C27","医药制造业","2017-12-31"
"2938","000813","2016-12-31","1","1","S5203","已授权",NA,"2",NA,"德展健康","C27","医药制造业","2017-12-31"
"3463","000908","2018-12-31","1","1","S5202","已获得","4",NA,NA,"景峰医药","C27","医药制造业","2015-12-31"
"3464","000908","2019-12-31","1","1","S5204","截至报告期末累计获得","192","142",NA,"景峰医药","C27","医药制造业","2015-12-31"
"3466","000908","2020-12-31","1","1","S5202","已获得","19",NA,NA,"景峰医药","C27","医药制造业","2015-12-31"
"3471","000908","2017-12-31","1","1","S5204","截至报告期末累计获得","178","134",NA,"景峰医药","C27","医药制造业","2015-12-31"
"3473","000908","2016-12-31","1","1","S5204","截至报告期末累计获得","163","127",NA,"景峰医药","C27","医药制造业","2015-12-31"
"3539","000915","2024-12-31","1","1","S5205","截止报告期末累计已被受理","130",NA,NA,"山大华特","C27","医药制造业","2011-12-31"
"3547","000915","2023-12-31","1","1","S5203","已授权","16",NA,NA,"山大华特","C27","医药制造业","2011-12-31"
"3551","000915","2020-12-31","1","1","S5206","截止报告期末累计已授权","101","33","56","山大华特","C27","医药制造业","2011-12-31"
"3555","000919","2021-12-31","1","1","S5203","已授权","18","1","17","金陵药业","C27","医药制造业","1999-12-31"
"3557","000919","2020-12-31","1","1","S5204","截至报告期末累计获得",NA,"35",NA,"金陵药业","C27","医药制造业","1999-12-31"
"3559","000919","2016-12-31","1","1","S5202","已获得","3","3",NA,"金陵药业","C27","医药制造业","1999-12-31"
"3560","000919","2022-12-31","1","1","S5201","已申请",NA,"4","7","金陵药业","C27","医药制造业","1999-12-31"
"3563","000919","2023-12-31","1","1","S5203","已授权",NA,"10",NA,"金陵药业","C27","医药制造业","1999-12-31"
"3565","000919","2019-12-31","1","1","S5202","已获得",NA,"36",NA,"金陵药业","C27","医药制造业","1999-12-31"
"3671","000931","2023-12-31","1","1","S5202","已获得","13","8","5","中关村","C27","医药制造业","2018-12-31"
"3672","000931","2022-12-31","1","1","S5202","已获得",NA,"12","5","中关村","C27","医药制造业","2018-12-31"
"3673","000931","2017-12-31","1","1","S5204","截至报告期末累计获得","6",NA,NA,"中关村","C27","医药制造业","2018-12-31"
"3748","000952","2019-12-31","1","1","S5206","截止报告期末累计已授权","26","24","2","广济药业","C27","医药制造业","1999-12-31"
"3750","000952","2023-12-31","1","1","S5206","截止报告期末累计已授权","143","28","115","广济药业","C27","医药制造业","1999-12-31"
"3752","000952","2016-12-31","1","1","S5206","截止报告期末累计已授权","23","21","2","广济药业","C27","医药制造业","1999-12-31"
"3753","000952","2022-12-31","1","1","S5206","截止报告期末累计已授权","90","33","57","广济药业","C27","医药制造业","1999-12-31"
"3754","000952","2021-12-31","1","1","S5206","截止报告期末累计已授权","90","33","57","广济药业","C27","医药制造业","1999-12-31"
