"","StockCode","ShortName","IndustryCode","IndustryName","EndDate"
"1","000004","ST 国农","C27","医药制造业","2010-12-31"
"2","000028","深益力A","C27","医药制造业","1993-12-31"
"3","000078","海王生物","C27","医药制造业","1998-12-31"
"4","000153","新力药业","C27","医药制造业","2000-12-31"
"5","000403","S*ST 生化","C27","医药制造业","2010-12-31"
"6","000423","东阿阿胶","C27","医药制造业","1996-12-31"
"7","000513","粤丽珠A","C27","医药制造业","1993-12-31"
"8","000518","苏三山A","C27","医药制造业","1993-12-31"
"9","000522","白云山A","C27","医药制造业","1993-12-31"
"10","000534","万泽股份","C27","医药制造业","2019-12-31"
"11","000538","云白药A","C27","医药制造业","1993-12-31"
"12","000545","吉制药A","C27","医药制造业","1993-12-31"
"13","000557","银广夏A","C27","医药制造业","1994-12-31"
"14","000566","琼海药A","C27","医药制造业","1994-12-31"
"15","000590","湘中药","C27","医药制造业","1996-12-31"
"16","000591","重庆中药","C27","医药制造业","1996-12-31"
"17","000597","东北药","C27","医药制造业","1996-12-31"
"18","000605","中联建设","C27","医药制造业","1996-12-31"
"19","000606","青海明胶","C27","医药制造业","2010-12-31"
"20","000623","吉林敖东","C27","医药制造业","1996-12-31"
"21","000650","九江化纤","C27","医药制造业","1996-12-31"
"22","000661","长春高新","C27","医药制造业","1996-12-31"
"23","000739","青岛东方","C27","医药制造业","1997-12-31"
"24","000750","桂林集琦","C27","医药制造业","1997-12-31"
"25","000756","新华制药","C27","医药制造业","1997-12-31"
"26","000766","通化金马","C27","医药制造业","1997-12-31"
"27","000788","合成制药","C27","医药制造业","1997-12-31"
"28","000790","华神集团","C27","医药制造业","1998-12-31"
"29","000813","德展健康","C27","医药制造业","2017-12-31"
"30","000908","景峰医药","C27","医药制造业","2015-12-31"
"31","000915","山大华特","C27","医药制造业","2011-12-31"
"32","000919","金陵药业","C27","医药制造业","1999-12-31"
"33","000931","中关村","C27","医药制造业","2018-12-31"
"34","000952","广济药业","C27","医药制造业","1999-12-31"
"35","000953","河化股份","C27","医药制造业","2021-12-31"
