"","StockCode","EndDate.x","EndDate.y","ShortName","RDPerson","RDSpendSum","RDSpendSumRatio","RDInvest"
"7","000004","2017-12-31","2010-12-31","ST 国农",23,5153966.37,3.72,0
"15","000004","2016-12-31","2010-12-31","ST 国农",NA,9244396.41,NA,NA
"17","000004","2019-12-31","2010-12-31","ST 国农",27,1017599.91,0.94,0
"19","000004","2022-12-31","2010-12-31","ST 国农",177,49467357.95,29.72,4301821.72
"21","000004","2018-12-31","2010-12-31","ST 国农",62,17465777.11,4.76,0
"23","000004","2021-12-31","2010-12-31","ST 国农",194,47845162.91,16.56,16082600.46
"25","000004","2020-12-31","2010-12-31","ST 国农",147,32795527.56,11.69,9487035.56
"27","000004","2023-12-31","2010-12-31","ST 国农",147,49209585.21,44.72,4432924.87
"184","000028","2016-12-31","1993-12-31","深益力A",221,43731710.16,0.11,0
"190","000028","2023-12-31","1993-12-31","深益力A",126,26821075.48,0.04,NA
"198","000028","2022-12-31","1993-12-31","深益力A",48,9066902.05,0.01,0
"515","000078","2020-12-31","1998-12-31","海王生物",136,50495616.4,0.13,12328494.62
"516","000078","2022-12-31","1998-12-31","海王生物",122,63714061.7,0.17,15280270.13
"519","000078","2017-12-31","1998-12-31","海王生物",130,56485643.02,0.23,12839799.55
"521","000078","2023-12-31","1998-12-31","海王生物",166,62595703.53,0.17,14657558.71
"524","000078","2021-12-31","1998-12-31","海王生物",137,51859983.13,0.13,12633173.82
"527","000078","2016-12-31","1998-12-31","海王生物",171,50663853.27,0.37,10523792.89
"528","000078","2019-12-31","1998-12-31","海王生物",145,64879302.28,0.16,22688202.31
"529","000078","2018-12-31","1998-12-31","海王生物",162,74570301.27,0.19,29722790.46
"585","000153","2020-12-31","2000-12-31","新力药业",160,92576805.51,2.79,17106903.45
"591","000153","2017-12-31","2000-12-31","新力药业",132,63272990.55,2.45,1465605.19
"593","000153","2016-12-31","2000-12-31","新力药业",116,35412922.46,1.74,3600628.27
"595","000153","2018-12-31","2000-12-31","新力药业",158,87901317.86,2.92,15019809.06
"597","000153","2023-12-31","2000-12-31","新力药业",167,103904597.37,2.43,26881179.6
"601","000153","2021-12-31","2000-12-31","新力药业",166,94157294.88,2.69,24097298.41
"603","000153","2019-12-31","2000-12-31","新力药业",160,88452286.41,2.73,10492073.8
"605","000153","2022-12-31","2000-12-31","新力药业",166,81436942.31,2.03,15970852.68
"734","000403","2019-12-31","2014-12-31","ST 生化",63,33288625.88,3.64,18556141.9
"740","000403","2018-12-31","2014-12-31","ST 生化",66,28588409.38,3.32,0
"746","000403","2016-12-31","2014-12-31","ST 生化",21,26848955.05,4.73,0
"752","000403","2020-12-31","2014-12-31","ST 生化",80,25749756.89,2.45,14753502.98
"764","000403","2022-12-31","2014-12-31","ST 生化",160,98063116,4.08,22698293.04
"776","000403","2021-12-31","2014-12-31","ST 生化",167,63402673.73,3.22,27772874.41
"788","000403","2017-12-31","2014-12-31","ST 生化",60,29389931.61,4.29,0
"806","000403","2023-12-31","2014-12-31","ST 生化",161,93741734.6,4.03,14056653.64
"935","000423","2023-12-31","1996-12-31","东阿阿胶",323,164497366.08,3.49,4718735.13
"943","000423","2021-12-31","1996-12-31","东阿阿胶",301,147749402.42,3.84,0
"947","000423","2017-12-31","1996-12-31","东阿阿胶",380,225507756.93,3.06,0
"949","000423","2020-12-31","1996-12-31","东阿阿胶",378,153632752.46,4.51,0
"951","000423","2019-12-31","1996-12-31","东阿阿胶",432,205948986.74,6.96,574895.51
"953","000423","2016-12-31","1996-12-31","东阿阿胶",336,168027050.74,2.66,843434.08
"955","000423","2018-12-31","1996-12-31","东阿阿胶",382,243696332.54,3.32,2893262.46
"957","000423","2024-12-31","1996-12-31","东阿阿胶",338,209941773.61,3.55,25780932.31
"959","000423","2022-12-31","1996-12-31","东阿阿胶",311,137705813.17,3.41,0
"1075","000513","2021-12-31","1993-12-31","粤丽珠A",936,1523255721.85,12.63,377553392.04
"1077","000513","2016-12-31","1993-12-31","粤丽珠A",356,474776639.72,6.2,1568805.95
"1079","000513","2023-12-31","1993-12-31","粤丽珠A",906,1235112004.58,9.94,179375828.56
"1083","000513","2019-12-31","1993-12-31","粤丽珠A",729,827729912.29,8.82,67357433.92
"1085","000513","2024-12-31","1993-12-31","粤丽珠A",908,1044334341.2,8.84,36645008.45
"1087","000513","2018-12-31","1993-12-31","粤丽珠A",721,687239391.13,7.76,71045218.5
"1099","000513","2022-12-31","1993-12-31","粤丽珠A",973,1401271796.95,11.1,102026703.35
"1105","000513","2017-12-31","1993-12-31","粤丽珠A",586,575501053.28,6.75,10507136.29
"1107","000513","2020-12-31","1993-12-31","粤丽珠A",911,989591702.94,9.41,105496335.42
"1116","000518","2022-12-31","1993-12-31","苏三山A",30,38968076.78,14.42,0
"1122","000518","2023-12-31","1993-12-31","苏三山A",35,29150204.8,12.38,0
"1128","000518","2020-12-31","1993-12-31","苏三山A",16,40704876.05,8.05,0
"1140","000518","2018-12-31","1993-12-31","苏三山A",6,12583889.89,3.18,0
"1146","000518","2019-12-31","1993-12-31","苏三山A",6,57979055.82,13.87,1.5e+07
"1152","000518","2021-12-31","1993-12-31","苏三山A",28,51836224.41,14.77,0
"1313","000534","2017-12-31","2019-12-31","万泽股份",67,30353093.75,11.9,8204234.93
"1314","000534","2019-12-31","2019-12-31","万泽股份",213,87667594.39,15.98,48628694.46
"1315","000534","2022-12-31","2019-12-31","万泽股份",233,144045460.74,18.15,67670023.82
"1316","000534","2020-12-31","2019-12-31","万泽股份",203,118677468.79,21.48,40885346.3
