"year","staff_category","n_firms"
"2011","1000-5000",39
"2011","<1000",30
"2011",">5000",9
"2012","1000-5000",25
"2012","<1000",17
"2012",">5000",6
"2013","1000-5000",26
"2013","<1000",18
"2013",">5000",6
"2014","1000-5000",26
"2014","<1000",16
"2014",">5000",5
"2015","1000-5000",74
"2015","<1000",34
"2015",">5000",17
"2016","1000-5000",79
"2016","<1000",41
"2016",">5000",19
"2017","1000-5000",84
"2017","<1000",52
"2017",">5000",20
"2018","1000-5000",94
"2018","<1000",47
"2018",">5000",17
"2019","1000-5000",89
"2019","<1000",49
"2019",">5000",20
"2020","1000-5000",93
"2020","<1000",51
"2020",">5000",22
"2021","1000-5000",101
"2021","<1000",53
"2021",">5000",19
"2022","1000-5000",101
"2022","<1000",54
"2022",">5000",24
"2023","1000-5000",101
"2023","<1000",54
"2023",">5000",26
