"StockCode","year","RDSpendSum","RDSpendSumRatio","RDPerson","RDPersonRatio","Amount"
4,"2011",2952345.13,NA,NA,NA,322
4,"2012",2460888.19,NA,NA,NA,277
4,"2013",1936084.84,NA,NA,NA,243
4,"2014",2439346.8,NA,NA,NA,220
4,"2015",4265023.32,NA,NA,NA,208
4,"2016",9244396.41,NA,NA,NA,179
4,"2017",5153966.37,3.72,23,13.77,172
4,"2018",17465777.11,4.76,62,27.8,217
4,"2019",1017599.91,0.94,27,10.76,251
4,"2020",32795527.56,11.69,147,55.68,269
4,"2021",47845162.91,16.56,194,69.53,309
4,"2022",49467357.95,29.72,177,63,296
4,"2023",49209585.21,44.72,147,49.33,298
28,"2011",64935100,3.72,NA,NA,4060
28,"2012",80366881.98,0.45,NA,NA,4171
28,"2013",80047194.42,0.38,NA,NA,4280
28,"2014",81216093.52,0.34,NA,NA,NA
28,"2015",73150395.26,0.28,94,2.02,4310
28,"2016",43731710.16,0.11,221,13.9,21192
28,"2022",9066902.05,0.01,48,0.12,39296
28,"2023",26821075.48,0.04,126,0.32,39449
78,"2011",6577980.89,NA,NA,NA,NA
78,"2012",53139704.76,0.83,NA,NA,NA
78,"2013",64039763.31,0.8,NA,NA,NA
78,"2014",57280300,0.58,NA,NA,NA
78,"2015",60569404.13,0.54,149,3.1,4502
78,"2016",50663853.27,0.37,171,3.04,5616
78,"2017",56485643.02,0.23,130,1.49,9262
78,"2018",74570301.27,0.19,162,1.39,11615
78,"2019",64879302.28,0.16,145,1.28,11332
78,"2020",50495616.4,0.13,136,1.3,10484
78,"2021",51859983.13,0.13,137,1.42,9657
78,"2022",63714061.7,0.17,122,1.24,9874
78,"2023",62595703.53,0.17,166,1.83,9093
153,"2011",24133831.6,NA,NA,NA,NA
153,"2012",22271700,1.34,NA,NA,NA
153,"2013",28987000,1.89,NA,NA,NA
153,"2014",30138600,1.77,NA,NA,NA
153,"2015",34337701.85,2.21,112,2.46,4547
153,"2016",35412922.46,1.74,116,2.53,4593
153,"2017",63272990.55,2.45,132,2.89,4571
153,"2018",87901317.86,2.92,158,3.32,4758
153,"2019",88452286.41,2.73,160,3.42,4668
153,"2020",92576805.51,2.79,160,3.51,4556
153,"2021",94157294.88,2.69,166,3.66,4538
153,"2022",81436942.31,2.03,166,3.57,4654
153,"2023",103904597.37,2.43,167,3.58,4670
403,"2012",16314071.94,3.47,NA,NA,NA
403,"2013",26880829.08,5.63,NA,NA,NA
403,"2014",19085063.79,3.9,NA,NA,NA
403,"2015",24128106.45,4.82,17,2.41,722
403,"2016",26848955.05,4.73,21,2.79,651
403,"2017",29389931.61,4.29,60,5.4,1099
403,"2018",28588409.38,3.32,66,6.21,1063
403,"2019",33288625.88,3.64,63,7.25,869
403,"2020",25749756.89,2.45,80,8.87,901
403,"2021",63402673.73,3.22,167,13.76,1627
403,"2022",98063116,4.08,160,7.64,2093
403,"2023",93741734.6,4.03,161,6.64,2426
423,"2011",42517726.08,NA,176,3.11,5665
423,"2012",1.14e+08,3.74,NA,NA,NA
423,"2013",1.23e+08,3.07,NA,NA,NA
423,"2014",1.26e+08,3.13,NA,NA,NA
423,"2015",155846222.16,2.86,399,7.8,5117
423,"2016",168027050.74,2.66,336,7.65,4391
423,"2017",225507756.93,3.06,380,7.89,4817
423,"2018",243696332.54,3.32,382,7.9,4836
423,"2019",205948986.74,6.96,432,8.72,4952
423,"2020",153632752.46,4.51,378,8.38,4509
423,"2021",147749402.42,3.84,301,7.2,4180
423,"2022",137705813.17,3.41,311,8.4,3703
423,"2023",164497366.08,3.49,323,8.78,3678
513,"2011",14642198.58,NA,NA,NA,5308
513,"2012",201371700,5.11,NA,NA,5587
513,"2013",233060000,5.05,NA,NA,5058
513,"2014",290020000,5.23,NA,NA,5544
513,"2015",375704450.61,5.67,373,6.31,5913
513,"2016",474776639.72,6.2,356,5.65,6297
513,"2017",575501053.28,6.75,586,8.42,6963
513,"2018",687239391.13,7.76,721,9.4,7671
513,"2019",827729912.29,8.82,729,8.08,9019
513,"2020",989591702.94,9.41,911,10.89,8367
513,"2021",1523255721.85,12.63,936,10.91,8580
513,"2022",1401271796.95,11.1,973,10.81,9005
513,"2023",1235112004.58,9.94,906,10.14,8933
518,"2012",7325700,2.79,NA,NA,471
518,"2013",7535200,3.61,NA,NA,424
518,"2014",7954600,3.3,NA,NA,389
518,"2018",12583889.89,3.18,6,2.59,314
518,"2019",57979055.82,13.87,6,2.65,331
518,"2020",40704876.05,8.05,16,5.56,288
518,"2021",51836224.41,14.77,28,11.02,254
518,"2022",38968076.78,14.42,30,14.35,250
518,"2023",29150204.8,12.38,35,15.49,282
522,"2011",0,NA,NA,NA,5481
522,"2012",137783200,3.2,NA,NA,5390
534,"2014",1.3e+07,NA,NA,NA,NA
534,"2016",15371259.47,7.9,45,11.63,364
534,"2017",30353093.75,11.9,67,17.22,381
534,"2018",59597065.98,23.06,115,35.49,323
534,"2019",87667594.39,15.98,213,24.74,861
534,"2020",118677468.79,21.48,203,22.81,890
534,"2021",118576297.89,18.07,218,21,1038
534,"2022",144045460.74,18.15,233,19.08,1221
534,"2023",163727222.53,16.68,212,15.25,1390
538,"2012",95060000,0.69,NA,NA,NA
538,"2013",181780000,1.15,NA,NA,NA
538,"2014",158640000,0.84,NA,NA,NA
538,"2015",100373029.32,0.48,649,7.96,8151
538,"2016",89927020.86,0.4,679,8.09,8396
538,"2017",84035411.19,0.35,701,8.45,8294
538,"2018",110304095.26,0.41,711,8.81,8068
538,"2019",173887854.07,0.59,748,9.21,8124
538,"2020",181082459.62,0.55,830,10.21,8131
538,"2021",331359703.27,0.91,1106,13.07,8464
538,"2022",342748138.38,0.94,1291,14.7,8781
538,"2023",344441461.28,0.88,527,5.97,8834
545,"2013",33691672.75,4,NA,NA,543
545,"2014",23964129.31,3.26,NA,NA,NA
545,"2015",29499941.92,4.16,75,6.82,1275
545,"2016",27154366.96,2.6,71,6.59,1077
545,"2017",62596658.56,3.6,135,12.57,1074
545,"2018",62338957.26,3.36,138,13.72,1006
545,"2019",63400644.24,3.36,136,13.74,990
545,"2020",66613114.02,3.63,137,14.21,964
545,"2021",91869663.85,3.51,164,15.71,1044
545,"2022",86238141.93,3.44,171,12.7,1346
545,"2023",81517368.23,3.6,141,11.5,1226
557,"2020",2421309.85,0.27,13,0.99,1122
557,"2021",5176097.84,0.42,31,2.79,1111
557,"2022",11204070.25,0.63,36,3.31,1092
557,"2023",5973315.04,0.36,37,3.39,1092
566,"2011",28080600,NA,NA,NA,1015
566,"2012",48599131.77,5.12,NA,NA,1455
566,"2013",82839076.94,8.13,NA,NA,1514
566,"2014",57646887.17,4.29,NA,NA,1666
566,"2015",32196328.22,1.96,91,4.74,1962
566,"2016",61398245.67,4.07,116,2.95,2271
566,"2017",62182098.75,3.41,126,5.36,2416
566,"2018",84137482.68,3.4,199,8.44,2333
566,"2019",209183764.43,8.55,226,8.73,2588
566,"2020",238874718.46,10.86,259,8.2,3148
566,"2021",151138214.28,7.34,162,6.31,2589
566,"2022",142277016.24,8,125,5.18,2247
566,"2023",130790360.71,8.85,133,6.3,2108
590,"2012",2296740.64,0.63,NA,NA,1955
590,"2013",2608432.95,1.02,NA,NA,1861
590,"2014",4365981.59,2.15,NA,NA,NA
590,"2015",4814649.69,1.63,72,4.4,1638
590,"2016",5951210.93,1.87,69,3.8,1812
590,"2017",5538020.35,1.61,66,4.5,1466
590,"2018",7484586.21,4.03,63,4.5,1401
590,"2019",9459816.38,3,65,4.87,1336
590,"2020",9594178.5,3.49,60,4.78,1256
590,"2021",8289522.63,2.76,55,4.53,1214
590,"2022",13103555.45,3.74,72,5.5,1309
590,"2023",12819682.61,3.17,82,6.6,1237
