"Firm_ID","Firm","Year"
NA,"Fresenius Kabi Austria GmbH",2015
338,"广东嘉博制药有限公司",2015
NA,"B.Braun Melsungen AG",2015
NA,"四川国瑞药业有限责任公司",2015
338,"广东嘉博制药有限公司",2016
NA,"B.Braun Melsungen AG",2016
NA,"四川国瑞药业有限责任公司",2016
NA,"Fresenius Kabi Austria GmbH",2016
6,"B.Braun Melsungen AG（B.Braun Melsungen AG）",2017
21,"Fresenius Kabi Austria GmbH(北京费森尤斯卡比
医药有限公司分装）",2017
22,"Fresenius Kabi Austria GmbH（北京费森尤斯卡比
医药有限公司分装）",2017
338,"广东嘉博制药有限公司",2017
NA,"Fresenius Kabi Austria GmbH",2017
NA,"四川国瑞药业有限责任公司",2017
338,"广东嘉博制药有限公司",2018
NA,"四川国瑞药业有限责任公司",2018
NA,"Fresenius Kabi Austria GmbH",2018
NA,"B.Braun Melsungen AG",2018
236,"四川科伦药业股份有限公司",2021
450,"江苏盈科生物制药有限公司",2021
23,"FreseniusKabiDeutschlandGmbH（FreseniusKabiAustriaGmbH）（北京费森尤斯卡比医药有限公司分包装）",2021
390,"扬子江药业集团有限公司",2021
NA,"Fresenius Kabi Austria GmbH",2021
NA,"Fresenius Kabi Austria GmbH",2022
450,"江苏盈科生物制药有限公司",2022
667,"辽宁海思科制药有限公司",2022
NA,"四川国瑞药业有限责任公司",2022
236,"四川科伦药业股份有限公司",2022
390,"扬子江药业集团有限公司",2022
686,"重庆药友制药有限责任公司",2022
338,"广东嘉博制药有限公司",2022
NA,"Fresenius Kabi Austria GmbH",2023
390,"扬子江药业集团有限公司",2023
450,"江苏盈科生物制药有限公司",2023
667,"辽宁海思科制药有限公司",2023
NA,"四川国瑞药业有限责任公司",2023
236,"四川科伦药业股份有限公司",2023
686,"重庆药友制药有限责任公司",2023
NA,"Fresenius Kabi Austria GmbH",2024
370,"成都华神集团股份有限公司制药厂",2015
NA,"成都华神科技集团股份有限公司制药厂",2016
NA,"Pfizer Italia S.r.l.",2016
149,"北京博康健基因科技有限公司",2016
149,"北京博康健基因科技有限公司",2017
378,"成都泰合健康科技集团股份有限公司华神制药厂",2017
NA,"成都华神科技集团股份有限公司制药厂",2017
NA,"Pfizer Italia S.r.l.",2017
NA,"Pfizer Italia S.r.l.",2018
NA,"成都华神科技集团股份有限公司制药厂",2018
149,"北京博康健基因科技有限公司",2018
32,"HEXALAG（SandozPrivateLimited）",2021
149,"北京博康健基因科技有限公司",2021
499,"浙江华海药业股份有限公司",2021
NA,"Sandoz Private Limited",2021
149,"北京博康健基因科技有限公司",2022
NA,"Sandoz Private Limited",2022
499,"浙江华海药业股份有限公司",2023
149,"北京博康健基因科技有限公司",2023
NA,"Sandoz Private Limited",2023
688,"重庆莱美药业股份有限公司",2023
387,"扬子江药业集团南京海陵药业有限公司",2023
150,"北京双鹭药业股份有限公司",2023
692,"长春海悦药业股份有限公司",2023
367,"成都倍特药业股份有限公司",2023
NA,"晋城海斯制药有限公司",2023
557,"海南锦瑞制药有限公司",2023
NA,"Pfizer Italia S.r.l.",2023
NA,"晋城海斯制药有限公司",2024
692,"长春海悦药业股份有限公司",2024
149,"北京博康健基因科技有限公司",2024
NA,"Sandoz Private Limited",2024
688,"重庆莱美药业股份有限公司",2024
387,"扬子江药业集团南京海陵药业有限公司",2024
150,"北京双鹭药业股份有限公司",2024
367,"成都倍特药业股份有限公司",2024
557,"海南锦瑞制药有限公司",2024
499,"浙江华海药业股份有限公司",2024
NA,"Rovi Pharma Industrial Services, S.A.",2017
712,"齐鲁制药有限公司",2020
382,"成都苑东生物制药股份有限公司",2020
712,"齐鲁制药有限公司",2021
382,"成都苑东生物制药股份有限公司",2021
712,"齐鲁制药有限公司",2022
382,"成都苑东生物制药股份有限公司",2022
400,"昆明积大制药股份有限公司",2022
382,"成都苑东生物制药股份有限公司",2023
382,"成都苑东生物制药股份有限公司",2024
493,"浙江京新药业股份有限公司",2024
712,"齐鲁制药有限公司",2024
107,"上海雅培制药有限公司",2015
485,"河南天方药业股份有限公司",2015
442,"江苏恒瑞医药股份有限公司",2015
403,"杭州中美华东制药有限公司",2016
107,"上海雅培制药有限公司",2016
493,"浙江京新药业股份有限公司",2016
343,"广东逸舒制药股份有限公司",2016
NA,"江西国药有限责任公司",2016
255,"天方药业有限公司",2016
578,"湖北广济药业股份有限公司",2016
442,"江苏恒瑞医药股份有限公司",2016
113,"丽珠集团丽珠制药厂",2016
NA,"山西津华晖星制药有限公司",2016
NA,"岳阳同联药业有限公司",2016
523,"浙江贝得药业有限公司",2016
525,"浙江震元制药有限公司",2016
121,"云南永安制药有限公司",2016
622,"石药集团欧意药业有限公司",2016
684,"重庆科瑞制药(集团)有限公司",2016
NA,"华润双鹤利民药业(济南)有限公司",2016
292,"宜昌东阳光长江药业股份有限公司",2016
NA,"四川泰华堂制药有限公司",2016
343,"广东逸舒制药股份有限公司",2017
403,"杭州中美华东制药有限公司",2017
442,"江苏恒瑞医药股份有限公司",2017
113,"丽珠集团丽珠制药厂",2017
99,"上海现代制药股份有限公司",2017
107,"上海雅培制药有限公司",2017
652,"西安利君制药有限责任公司",2017
121,"云南永安制药有限公司",2017
525,"浙江震元制药有限公司",2017
684,"重庆科瑞制药(集团)有限公司",2017
493,"浙江京新药业股份有限公司",2017
255,"天方药业有限公司",2017
107,"上海雅培制药有限公司",2018
442,"江苏恒瑞医药股份有限公司",2018
255,"天方药业有限公司",2018
121,"云南永安制药有限公司",2018
493,"浙江京新药业股份有限公司",2018
113,"丽珠集团丽珠制药厂",2018
113,"丽珠集团丽珠制药厂",2019
303,"山东新华制药股份有限公司",2020
112,"东莞市阳之康医药有限责任公司（广东东阳光药业有限公司受托生产）",2020
523,"浙江贝得药业有限公司",2020
99,"上海现代制药股份有限公司",2020
NA,"广东东阳光药业股份有限公司",2020
NA,"山东新华制药股份有限公司;山东新华制药股份有限公司;新华制药(高密)有限公司",2020
499,"浙江华海药业股份有限公司",2015
712,"齐鲁制药有限公司",2015
331,"常州四药制药有限公司",2015
153,"北京天衡药物研究院南阳天衡制药厂",2016
331,"常州四药制药有限公司",2016
443,"江苏恩华药业股份有限公司",2016
712,"齐鲁制药有限公司",2016
499,"浙江华海药业股份有限公司",2016
